"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"98" "LH" "F05" "E2" "217" "Cryptocentrum latifolium" "F05_E2" "3" "0" "0" "1" "0" "0" "Monopodial"
"99" "LH" "F05" "E2" "218" "Cryptocentrum latifolium" "F05_E2" "3" "0" "0" "1" "0" "0" "Monopodial"
"100" "LH" "F05" "E2" "219" "Restrepia antennifera" "F05_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"101" "LH" "F05" "E2" "220" "Lankesteriana cuspidata" "F05_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"102" "LH" "F05" "E2" "221" "Lankesteriana cuspidata" "F05_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"103" "LH" "F05" "E2" "222" "Lankesteriana cuspidata" "F05_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"104" "LH" "F05" "E2" "223" "Lankesteriana cuspidata" "F05_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"105" "LH" "F05" "E3" "224" "Encyclia prostechea" "F05_E3" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"106" "LH" "F05" "E3" "225" "Stelis vulcanica" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"107" "LH" "F05" "E3" "226" "Stelis vulcanica" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"108" "LH" "F05" "E3" "227" "Restrepia antennifera" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"109" "LH" "F05" "E3" "228" "Lankesteriana cuspidata" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"110" "LH" "F05" "E3" "229" "Lankesteriana cuspidata" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"111" "LH" "F05" "E3" "230" "Stelis spathulata" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"112" "LH" "F05" "E3" "231" "Stelis spathulata" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"113" "LH" "F05" "E3" "232" "Stelis spathulata" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"114" "LH" "F05" "E3" "233" "Stelis spathulata" "F05_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"115" "LH" "F05" "E3" "236" "Campylocentrum micranthum" "F05_E3" "2" "0" "0" "0" "1" "0" "Leafy stem"
"116" "LH" "F05" "E4" "237" "Epidendrum sp.1" "F05_E4" "1" "0" "0" "0" "0" "1" ""
"117" "LH" "F05" "E4" "238" "Stelis spathulata" "F05_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"118" "LH" "F05" "E4" "240" "Stelis spathulata" "F05_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
