"tree" "stratum" "Campylocentrum.micranthum" "Cryptocentrum.latifolium" "Dichaea.hystricina" "Dichaea.pendula" "Encyclia.prostechea" "Epidendrum.LH" "Epidendrum.porpax" "Epidendrum.RY" "Epidendrum.sp.1" "Lankesteriana.cuspidata" "Lepanthes.sp" "Lepanthes.sp.1" "Lepanthes.sp.2" "Lepanthes.sp.3" "Lepanthopsis.floripecten" "Maxillaria" "Maxillaria.fritzii" "Maxillaria.ochracea" "Mormolyca.rufescens" "Myoxanthus.affinis" "Oncidium.adelaide" "Oncidium.chrysomorphum" "Oncidium.pictum" "Platystele.consobrina" "Pleurothallis.hystrix" "Pleurothallis.tripterantha" "Restrepia.antennifera" "Stelis.argentata" "Stelis.popayanensis" "Stelis.sp.1" "Stelis.sp.2" "Stelis.spathulata" "Stelis.vulcanica" "Sygmatostalix.sergii"
"75" "F16" "E2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"76" "F16" "E3" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"77" "F16" "E4" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"78" "F16" "E5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0
"79" "F17" "E1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"80" "F17" "E2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"81" "F17" "E3" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"82" "F17" "E4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0
"83" "F18" "E1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"84" "F18" "E2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"85" "F18" "E3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"86" "F18" "E4" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"87" "F18" "E5" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
