date,tree,orch_i,strat_h,orch_sp_paleo,loc,tree_id,strat_id,orch_id,orch_sp_nhoc,LA,LDM,LFM,LT,SLA,NFU,LLU,NL,fertile,habit1,habit2,habit1_txt,habit2_txt
2017,75,428,10,Stelis spathulata,RY,T15,E5,428,Stelis spathulata,2.048,0.019,0.14,0.706666667,107.7894737,4,7.7,4,0,2,1,Ramicaule,Erect
2017,75,429,10,Stelis spathulata,RY,T15,E5,429,Stelis spathulata,3.105,0.0284,0.18,0.653333333,109.3309859,4,8.9,4,0,2,1,Ramicaule,Erect
2017,75,430,10,Stelis spathulata,RY,T15,E5,430,Stelis spathulata,3.089,0.0364,0.18,0.523333333,84.86263736,7,12,7,0,2,1,Ramicaule,Erect
2017,75,431,10,Stelis spathulata,RY,T15,E5,431,Stelis spathulata,1.987,0.0166,0.15,0.703333333,119.6987952,4,6,4,0,2,1,Ramicaule,Erect
2017,75,432,10,Stelis argentata,RY,T15,E5,432,Stelis argentata,4.032,0.0385,0.24,1.143333333,104.7272727,5,7.2,1,0,2,1,Ramicaule,Erect
2017,75,433,10,Stelis argentata,RY,T15,E5,433,Stelis argentata,9.414,0.0923,0.66,0.67,101.9934995,9,10.3,9,2,2,1,Ramicaule,Erect
2017,75,434,10,Stelis argentata,RY,T15,E5,434,Stelis argentata,11.735,0.0821,1.23,1.153333333,142.9354446,6,14.5,6,0,2,1,Ramicaule,Erect
2017,75,435,10,Stelis sp.,RY,T15,E5,435,Stelis popayanensis,5.53,0.0639,0.51,1.04,86.54147105,6,15.5,6,0,2,1,Ramicaule,Erect
2017,75,436,10,Stelis sp.,RY,T15,E5,436,Stelis popayanensis,5.122,0.1549,0.76,1.803333333,33.06649451,10,11.2,10,0,2,1,Ramicaule,Erect
2017,75,437,10,Maxillaria ochracea,RY,T15,E5,437,Maxillaria ochracea,14.913,0.5504,1.51,1.09,27.09484012,4,12,2,0,3,2,Pseudobulbs_Single internode,Scandent
2017,75,438,10,Maxillaria ochracea,RY,T15,E5,438,Maxillaria ochracea,7.95,0.0664,0.54,0.673333333,119.7289157,10,11,10,0,3,2,Pseudobulbs_Single internode,Scandent
2017,75,439,10,Stelis vulcanica,RY,T15,E5,439,Stelis vulcanica,58.581,0.998,8.93,1.77,58.69839679,14,29.5,14,2,2,1,Ramicaule,Erect
2017,75,440,10,Stelis vulcanica,RY,T15,E5,440,Stelis vulcanica,35.187,0.4482,4.74,1.536666667,78.50736278,6,22.6,6,2,2,1,Ramicaule,Erect
2017,69,441,3,Stelis vulcanica,RY,T12,E2,441,Stelis vulcanica,59.171,0.7645,8.36,1.55,77.39829954,5,32.5,5,0,2,1,Ramicaule,Erect
2017,69,442,3,Stelis spathulata,RY,T12,E2,442,Stelis spathulata,0.855,0.0065,0.06,0.743333333,131.5384615,17,4,17,0,2,1,Ramicaule,Erect
2017,69,443,3,Stelis spathulata,RY,T12,E2,443,Stelis spathulata,1.099,0.0102,0.07,0.876666667,107.745098,8,5,8,0,2,1,Ramicaule,Erect
2017,69,444,3,Stelis spathulata,RY,T12,E2,444,Stelis spathulata,1.89,0.0184,0.12,0.583333333,102.7173913,18,7,18,0,2,1,Ramicaule,Erect
2017,69,445,8,Oncidium heteranthum,RY,T12,E4,445,Oncidium adelaide,5.973,0.0471,0.18,0.22,126.8152866,5,12.2,5,0,3,1,Pseudobulbs_Single internode,Erect
2017,69,446,8,Oncidium heteranthum,RY,T12,E4,446,Oncidium adelaide,4.629,0.0227,0.1,0.176666667,203.9207048,3,8,3,0,3,1,Pseudobulbs_Single internode,Erect
2017,69,447,8,Campylocentrum micranthum,RY,T12,E4,447,Campylocentrum micranthum,0.888,0.0116,0.07,0.996666667,76.55172414,2,8,2,0,4,2,Leafy stem,Scandent
2017,69,449,10,Epidendrum RY,RY,T12,E5,449,Epidendrum RY,5.175,0.0635,0.42,0.83,81.49606299,11,33,11,0,,,,
2017,69,450,10,Stelis vulcanica,RY,T12,E5,450,Stelis vulcanica,47.961,0.7587,8.3,1.923333333,63.21470937,11,30,11,0,2,1,Ramicaule,Erect
2017,79,451,3,Pleurothallis hystrix,RY,T16,E2,451,Pleurothallis hystrix,3.045,0.0231,0.16,0.593333333,131.8181818,20,11.3,20,0,1,3,Stemmed,Reptant
2017,79,452,6,Pleurothallis hystrix,RY,T16,E3,452,Pleurothallis hystrix,3.806,0.025,0.18,0.51,152.24,6,10.5,6,0,1,3,Stemmed,Reptant
2017,79,453,6,Stelis argentata,RY,T16,E3,453,Stelis argentata,11.035,0.0941,0.71,0.67,117.2688629,8,12.3,8,0,2,1,Ramicaule,Erect
2017,79,454,6,Stelis argentata,RY,T16,E3,454,Stelis argentata,16.857,0.1039,0.76,0.416666667,162.2425409,6,17.3,6,1,2,1,Ramicaule,Erect
2017,79,455,6,Stelis argentata,RY,T16,E3,455,Stelis argentata,22.268,0.1688,1.51,0.733333333,131.9194313,15,20,15,0,2,1,Ramicaule,Erect
2017,79,456,6,Cryptocentrum latifolium,RY,T16,E3,456,Cryptocentrum latifolium,18.231,0.2111,0.85,1.976666667,86.36191378,1,16.3,5,0,5,1,Monopodial,Erect
2017,79,458,8,Cryptocentrum latifolium,RY,T16,E4,458,Cryptocentrum latifolium,37.62,0.0901,2.5,4.133333333,417.536071,3,34,14,0,5,1,Monopodial,Erect
2017,79,459,8,Pleurothallis hystrix,RY,T16,E4,459,Pleurothallis hystrix,3.048,0.023,0.26,0.903333333,132.5217391,15,7.2,15,0,1,3,Stemmed,Reptant
2017,79,460,8,Pleurothallis hystrix,RY,T16,E4,460,Pleurothallis hystrix,2.838,0.0256,0.13,0.526666667,110.859375,10,8.4,10,0,1,3,Stemmed,Reptant
2017,79,461,8,Pleurothallis hystrix,RY,T16,E4,461,Pleurothallis hystrix,2.735,0.0197,0.17,0.646666667,138.8324873,25,8.2,25,0,1,3,Stemmed,Reptant
2017,79,462,10,Pleurothallis hystrix,RY,T16,E5,462,Pleurothallis hystrix,1.765,0.0143,0.08,0.466666667,123.4265734,24,12,24,0,1,3,Stemmed,Reptant
2017,79,463,10,Stelis spathulata,RY,T16,E5,463,Stelis spathulata,3.754,0.0411,0.31,0.94,91.33819951,8,6.8,8,0,2,1,Ramicaule,Erect
2017,79,464,10,Stelis spathulata,RY,T16,E5,464,Stelis spathulata,2.917,0.0315,0.16,0.576666667,92.6031746,34,8,34,1,2,1,Ramicaule,Erect
2017,79,465,10,Stelis spathulata,RY,T16,E5,465,Stelis spathulata,2.412,0.0209,0.12,0.563333333,115.4066986,5,8.5,5,1,2,1,Ramicaule,Erect
2017,79,466,10,Stelis argentata,RY,T16,E5,466,Stelis argentata,19.259,0.1552,1.2,0.646666667,124.0914948,26,19.6,26,1,2,1,Ramicaule,Erect
